year,catch
1989,1317.94
1989,2588.65
1989,1336.25
1989,111.41
1990,2300.36
1990,1571.01
1990,1182.22
1990,765.474
1991,1049.15
1991,3692.7
1991,701.617
1991,273.876
1992,1125.13
1992,1368.15
1992,499.605
1992,3.82
1993,766.822
1993,921.209
1993,166.867
1993,105.053
1994,689.675
1994,2055.27
1994,210.042
1994,80.47
1995,185.366
1995,79.8917
1995,147.933
1995,157.423
1996,41.043
1996,807.195
1996,585.565
1996,397.607
1997,907.84
1997,1110.05
1997,2006.93
1997,588.393
1998,1781.42
1998,2175.55
1998,2909.42
1998,2715.91
1999,1638.33
1999,1994.93
1999,1615.91
1999,691.379
2000,412.156
2000,667.864
2000,673.186
2000,600.236
2001,1045.57
2001,3226.82
2001,3275.36
2001,1088.91
2002,1771.9
2002,2957.37
2002,2698.98
2002,816.013
2003,1027.35
2003,2538.97
2003,965.346
2003,416.144
2004,1384.23
2004,1976.42
2004,1521.88
2004,698.658
2005,1398.1
2005,2252.44
2005,705.5
2005,84.7802
2006,1296.9
2006,2657.27
2006,415.799
2006,19.1224
2007,1581.1
2007,2251.47
2007,1422.71
2007,360.965
2008,612.777
2008,1120.86
2008,910.274
2008,575.716
2009,533.464
2009,1280.06
2009,1015.54
2009,125.857
2010,66.8165
2010,1708.69
2010,919.885
2010,232.038
2011,1326.2
2011,2342.55
2011,2051.29
2011,571.27
2012,1158.9
2012,2433.36
2012,1219.57
2012,26.3829
2013,434.466
2013,1837.27
2013,2683.15
2013,276.572
2014,1754.34
2014,3553.25
2014,3299.67
2014,438.975
2015,1470.64
2015,2424.78
2015,1880.44
2015,1174.23
2016,1351.94
2016,2267.34
2016,2253.76
2016,868.778
2017,1051.18
2017,2212.82
2017,1140.49
2017,206.378
2018,235.826
2018,2391.25
2018,1413.97
2018,457.768
2019,322.281
2019,1620.61
2019,1889.17
2019,981.52
2020,1286.49
2020,2314.52
2020,2603.31
2020,1113.03
2021,644.267
2021,3500.07
2021,2794.35
2021,622.914
2022,531.826
2022,2682.18
2022,2679.23
2022,721.875
2023,933
2023,3626.32
2023,2287.81
2023,622.4
2024,900
2024,3000
2024,3000
2024,600
