Yr,l2.5,l3,l3.5,l4,l4.5,l5,l5.5,l6,l6.5,l7,l7.5,l8,l8.5,l9,l9.5,l10,l10.5,l11,l11.5,l12,l12.5,l13,l13.5,l14,l14.5,l15,l15.5,l16,l16.5,l17,l17.5,l18,l18.5,l19,l19.5,l20,l20.5,l21,l21.5,l22
2012,0,0,0,0,7156.89,14313.8,21470.7,68888.8,62116.3,150307,245614,171357,163901,197256,369643,478843,353052,155126,55725.2,35056.3,33839.7,19151,22772.1,22571,201.072,184.957,122.204,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,2802.4,40281.4,145685,175571,180693,130393,82681.1,29494.3,28008.1,25579.5,20565.8,18199,34387.4,30930.3,21335.6,12445.8,7111.86,0,0,0,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,27014.2,540122,1357610,1183490,708018,490758,387414,269134,146351,44821.6,15760.7,10289.6,8770.09,7372.9,11094.8,8758.73,6205.64,3257.96,998.692,109.201,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,109915,385533,697550,939904,560651,365868,183795,117184,64928.9,29753.5,11731,18735.3,36410.5,50915.4,44440.7,22040.6,14420.4,9006.07,2926.87,858.991,244.515,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0.638,0.638,67885,122606,68808.1,62272.4,43538.1,35180.3,32409.4,50889.8,53501.1,77551.5,84975.1,103964,80526.7,34601.3,23395.1,7371.73,2173.24,781.169,47.218,0,52.293,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,96653.4,378851,768364,883098,864206,778969,585576,414532,182479,112701,103563,98588.5,74754.9,63690.8,38847.9,29422.7,16977.6,9514.93,3132.86,716.064,110.163,55.082,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,4374.88,32711.1,94048.4,222928,363945,309950,234257,160377,172475,272646,288712,299735,320091,181895,104590,54580,40435,20417.5,14324.5,3300.01,861.478,0,0,0,0,0,0,0,0,0
2021,4242.56,8485.12,1590.96,2651.6,1590.96,0,0,0,0,563.418,20343.5,59754.1,45580.9,82511.9,281913,300882,256722,241076,183468,126645,55234.1,49018,44833.9,75993.3,65136.2,33041.7,14058.9,8780.13,2656.33,1786.17,733.109,80.423,38.914,0,0,0,0,0,0,0
2022,0,0,0,0,0,1996.36,0,0,0,0,0,9998.58,125554,346835,166244,305135,408356,327586,73609.6,37199.6,17095,4061.86,5008.52,3569.68,1358.64,1221.19,1080.77,610.595,0,0,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,56894.3,103925,61006.1,30714.7,17663.5,42231,81737.3,68395,44530.1,35958.8,26302.1,29644.4,45995.2,54524.9,42134.9,37831.3,25423.8,7167.9,3148.15,629.63,629.63,0,0,0,0,0,0,0,0,0
