Yr,l2.5,l3,l3.5,l4,l4.5,l5,l5.5,l6,l6.5,l7,l7.5,l8,l8.5,l9,l9.5,l10,l10.5,l11,l11.5,l12,l12.5,l13,l13.5,l14,l14.5,l15,l15.5,l16,l16.5,l17,l17.5,l18,l18.5,l19,l19.5,l20,l20.5,l21,l21.5,l22
1999,0,0,0,0,0,0,0,0,0,0,5802,11500,23000,92103,46000,86000,138102,144734,220044,148027,252168,430823,300240,100522,43109,17192,13065,1018,5397,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,2065,11551,20217,21870,34807,82606,146559,237443,247613,351108,358272,319972,256516,214378,159830,91827,46848,34394,29420,13317,12802,3256,5,3164,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,568082,1182300,729795,495930,234395,97198,102564,125020,118119,46053,37741,33815,14934,13217,8383,10045,5450,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,27447,267590,185249,75461,20567,6880,6880,6880,6880,6880,28551,50529,177783,267266,265855,283434,223989,154052,109224,66802,42977,19662,13561,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,24280,75189,192542,206640,149204,135759,105213,137195,145680,81064,35506,12923,4308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,64560,288158,553301,470858,286080,216552,177915,113530,41486,17159,7418,4822,3010,0,0,0,0,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13653,62302,296233,662418,796608,596443,381818,192886,94373,28694,9674,5498,2287,462,913,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,7311,18278,30487,54188,96228,90564,206072,270972,295941,250806,159079,158234,204990,94842,61673,24317,2125,5549,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,12260,98203,312934,171760,45315,94255,336730,200345,129781,114333,86486,79359,128652,96428,105322,42758,9482,3998,332,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,14210,21325,28418,35534,49805,35534,92432,106641,107560,170409,70924,111295,78790,30648,5917,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,1174,4707,10319,23026,67882,98434,130377,120273,176981,92740,45476,28243,28102,31331,21790,12523,2310,919,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9306,18390,64465,242895,304211,518180,409235,358870,171411,51800,37541,36225,17804,748,0,0,341,0,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221253,507208,982579,701334,525924,375934,283612,60131,16744,8987,3264,1640,410,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,29090,219142,321925,581792,507613,595852,1035100,780278,711319,793083,1457890,1832690,698817,201093,43174,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0,0,3052,43051,135256,150356,131079,197904,205775,184641,277509,169882,113258,89666,81785,35661,8996,8996,17831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,0,0,0,0,0,0,0,0,0,0,0,4610,34692,85635,74638,82368,217905,305365,414956,309103,228555,138746,147947,69425,30437,2255,7557,1198,0,1198,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,0,65758,160647,116759,150029,95673,134701,134023,127430,343875,367131,429929,345633,303950,313880,158871,91471,40320,13390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,0,0,0,34320,60447,193324,300598,589256,764810,1145790,675854,572702,465161,368930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,31032,58972,77403,244223,349581,260376,201611,99078,63040,60408,25494,12937,4079,5884,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,29954.8,0,140005,102307,102502,85884,50209.6,32561.8,27780.7,25331.8,22190.6,22730.8,20028.6,23068.3,18745.1,13172.3,3613.93,2195.38,0,0,0,0,0,0,0,0,0,0
2023,0,0,0,0,0,0,0,0,0,0,0,0,148574,374971,297147,367896,452796,721643,629669,247623,77824.2,21224.8,0,7074.93,69.4042,312.319,2394.44,4094.84,5240.01,8150.7,347.021,7248.44,0,0,0,0,0,0,0,0
