"file","caption","alt_text","category","png_time","StartTime"
"bio1_sizeatage.png","Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio2_sizeatage_plus_CV_and_SD.png","Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio3_sizeatage_plus_WT_and_MAT.png","Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_1.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_2.png","Distribution of length at age for seas: 1 sub_seas: 1 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_3.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_4.png","Distribution of length at age for seas: 1 sub_seas: 2 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_5.png","Distribution of length at age for seas: 2 sub_seas: 1 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_6.png","Distribution of length at age for seas: 2 sub_seas: 1 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_7.png","Distribution of length at age for seas: 2 sub_seas: 2 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_8.png","Distribution of length at age for seas: 2 sub_seas: 2 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_9.png","Distribution of length at age for seas: 3 sub_seas: 1 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_10.png","Distribution of length at age for seas: 3 sub_seas: 1 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_11.png","Distribution of length at age for seas: 3 sub_seas: 2 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_12.png","Distribution of length at age for seas: 3 sub_seas: 2 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_13.png","Distribution of length at age for seas: 4 sub_seas: 1 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_14.png","Distribution of length at age for seas: 4 sub_seas: 1 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_15.png","Distribution of length at age for seas: 4 sub_seas: 2 morph: 1",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio1B_len_at_age_matrix_16.png","Distribution of length at age for seas: 4 sub_seas: 2 morph: 2",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio5_weightatsize.png","Weight-length relationship",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio6_maturity.png","Maturity at length",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio7_fecundity.png","Fecundity",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio8_fecundity_wt.png","Fecundity as a function of weight",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio9_fecundity_len.png","Fecundity as a function of length",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio10_spawningoutput_len.png","Spawning output at length. This is the product of maturity and fecundity unless maturity is age-based, in which case only fecundity is represented.",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"bio11_spawningoutput_age.png","Spawning output at age. This is the product of maturity and fecundity. When these processes are length-based they are converted into the age dimension using the matrix of length at age.",NA,"Bio",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"sel01_multiple_fleets_length1.png","Selectivity at length for multiple fleets.",NA,"Sel",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"sel02_multiple_fleets_age1.png","Selectivity at age derived from selectivity at length for multiple fleets.",NA,"Sel",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
"sel03_len_timevary_surf_flt1sex1.png","Surface plot of Time-varying selectivity for SEINE",NA,"Sel",2024-06-29 12:39:35.819108,"StartTime: Fri Jun 28 13:18:02 2024"
